id,text,author,trackType,presentationMode,categories
1afccd51-c40d-418c-98b1-9b707abc7bbe,"Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.",Roy  Bennett,hope,textOverlay,Possibility|Agency|Connection
0ab16b24-fe88-424e-9bde-86929f9c83f9,"Even if it's meaningless . . . sometimes, nice things happen.","Tsukumizu, Girls' Last Tour, Vol. 1",hope,textOverlay,Possibility|Purpose|Self-Worth
efa5c6b4-3702-4b51-9b8a-8d086b3e787a,There is wisdom in knowing your limits and then daring to push past them. Choose to live an exceptional life.,"Truth Devour, Wantin",hope,textOverlay,Agency|Growth|Mindfulness
75c59ec4-3f40-4094-8ab8-a0d6c9e92b96,"We make a lot of detours, but we're always heading for the same destination",Paulo Coelho,hope,textOverlay,Resilience|Purpose
31edd276-13da-4c9e-9763-982d27bfce01,"To find yourself, be yourself. To get lost in yourself, love yourself unconditionally.",Debasish Mridha,hope,textOverlay,Self-Worth|Connection
26401158-a543-47e5-a559-a75de1935b84,"P's of life; Passionate life, Persistent life.",Lailah Gifty Akita,hope,textOverlay,Purpose|Agency|Resilience
88f9b5f7-28c0-419c-8c05-64ee210909be,There are two bonds formed – belonging together and suffering together.Which bond will withstand the true test of Darkness?,"Michelle Horst, The Land of Shadows",hope,textOverlay,Connection|Agency|Resilience
dff341f0-b380-4c79-a786-5d16fb2686e8,"It is necessary ... to yield to the storm, purchase a peace, and wait patiently for better times.","Alexandre Dumas, Twenty Years After",hope,textOverlay,Resilience|Agency|Possibility
907e55d2-4bc6-420f-a053-244b2a36b658,"When I, awoke, they called me crazy; But only those, whom were still asleep.",Nikki Rowe,hope,textOverlay,Mindfulness|Growth
5b099563-8d6c-4674-8878-d3db6de25cb1,"But we are strong, each in our purpose, and we are all more strong together.","Bram Stoker, Dracula",hope,textOverlay,Connection|Purpose|Agency
866798ed-e18a-46e5-a44a-b356fc16b98e,Have you decided how great you want to be? It’s really up to you. Greatness is a choice.,"Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused",hope,textOverlay,Agency|Growth|Possibility
9e9eab2c-75a3-438c-a4de-8632d60e239d,A commitment to never getting knocked down is in reality a decision to never stand up.,Craig D. Lounsbrough,hope,textOverlay,Agency|Resilience|Purpose
b18c183b-b2be-4ef5-a99c-92bcf48337ff,"We are all of us born with a letter inside us, and that only if we are true to ourselves, may we be allowed to read it before we die.",Douglas Coupland,hope,textOverlay,Agency|Resilience|Purpose
a6c36dd0-2ea5-44ba-9a31-1f03c9c75ffc,Every limitation must be overcome to realised the goal.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",hope,textOverlay,Purpose|Growth|Resilience
a743d11c-7bdc-4bd3-b425-e2c799811835,"All I want is to be at service of humanity, rather than being a teacher. I cannot teach anyone anything I can only make them think.","Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost",hope,textOverlay,Connection|Growth|Mindfulness
6f1d5ad9-0f0a-49d2-8135-548951dd42ff,​I wanted to present Neuroscience to people in a way that would diminish their differences.,"Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost",hope,textOverlay,Mindfulness|Connection|Growth
e4edb9d0-69d2-4cf1-99c6-2b38aefc1c10,The horizon changes but the sun does not.,Joyce Rachelle,hope,textOverlay,Purpose|Growth
d1a7eeb3-0f72-4c17-9c05-606c7fd1a30a,"To become a leader, renovate your mind with painting of peace and roof your heart with ceiling of love. No love, no leader!","Israelmore Ayivor, Leaders' Ladder",hope,textOverlay,Mindfulness|Connection|Growth
8832194f-bf65-41a1-90d5-446bae054818,The weak can never fall in love because love is an adventure.,Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
2c39a0fc-e672-4c45-8da4-a98fa8eca7a5,Be contented with the things of the world. Develop greed for God.,Radhe Maa,hope,textOverlay,Mindfulness|Growth
14f48394-3661-48ad-a979-0ac58d18cbda,Don’t live your life in the future without any planned rewards for your effort and sacrifices today.,Mensah Oteh,hope,textOverlay,Possibility|Connection|Growth
ce51efc1-8690-4370-9278-b6d310cf9c3a,The head thinks. The heart knows.,Rasheed Ogunlaru,hope,textOverlay,Mindfulness|Growth|Connection
8e3b8a7e-9a11-4960-b931-c144aee263ce,"The purpose of education should not to be to fill you with knowledge, but education should make you hungry for knowledge.",Debasish Mridha,hope,textOverlay,Growth|Mindfulness|Purpose
4b48e7a2-a73f-4d07-9339-1c9d6791697c,Do not exchange the 24 hours for money. Give some time for your own accomplishments.,"Lailah Gifty Akita, Think Great: Be Great!",hope,textOverlay,Purpose|Growth|Connection
5d4218ac-3705-4cfa-83c6-62d074206ac7,"Until you develop the courage to pursue that dream in your heart, you will never reach your true potential.",Mensah Oteh,hope,textOverlay,Possibility|Growth|Agency
9b718f66-2b7d-42ce-8637-53c9174c79a7,"Know your magic, trust your magic, use your magic and know that you are a manifestation of life's magic.",Rasheed Ogunlaru,hope,textOverlay,Self-Worth|Connection|Agency
5d875b03-286e-4762-b191-47eca36d7cbd,"Sometimes the best helping hand you can get is a good, firm push.",Joann Thomas,hope,textOverlay,Connection|Agency|Growth
